"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,60.2,,
"FRA","France","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,62.5,,
"FRA","France","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,64.2,,
"FRA","France","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,64.8,,
"FRA","France","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,61.4,,
"FRA","France","FB","Foreign-born","M","Medium","2020","2020","PC","Percentage","0","Units",,,62.2,,
"FRA","France","FB","Foreign-born","M","Medium","2021","2021","PC","Percentage","0","Units",,,60.5,,
"FRA","France","FB","Foreign-born","M","Medium","2022","2022","PC","Percentage","0","Units",,,60.5,,
"FRA","France","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,73.2,,
"FRA","France","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,71.4,,
"FRA","France","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,71.4,,
"FRA","France","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,72.3,,
"FRA","France","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,73.2,,
"FRA","France","FB","Foreign-born","H","High","2020","2020","PC","Percentage","0","Units",,,73.4,,
"FRA","France","FB","Foreign-born","H","High","2021","2021","PC","Percentage","0","Units",,,74.6,,
"FRA","France","FB","Foreign-born","H","High","2022","2022","PC","Percentage","0","Units",,,73.9,,
"DEU","Germany","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,70.8,,
"DEU","Germany","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,70.7,,
"DEU","Germany","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,69.1,,
"DEU","Germany","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,72.6,,
"DEU","Germany","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,73.6,,
"DEU","Germany","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,66.9,,
"DEU","Germany","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,68.3,,
"DEU","Germany","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,69.8,,
"DEU","Germany","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,58.9,,
"DEU","Germany","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,58,,
